"team","conference","tier","logo_url","wordmark_url","primary","secondary"
"Indiana","Big Ten","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/84.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/5051_indiana_hoosiers-wordmark-0.png","#7D110C","#eeedeb"
"Iowa","Big Ten","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/iowa_hawkeyes_logo_wordmark_2012_sportslogosnet-5540.png","#000000","#ffe100"
"Maryland","Big Ten","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/120.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/maryland_terrapins_logo_wordmark_20115592.png","#D5002B","#ffcd00"
"Michigan","Big Ten","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/130.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/michigan_wolverines_logo_wordmark_2016_sportslogosnet-8199.png","#00274c","#ffcb05"
"Michigan State","Big Ten","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/127.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/michigan_state_spartans_logo_wordmark_2010_sportslogosnet-9157.png","#18453B","#ffffff"
"Minnesota","Big Ten","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/135.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/University_of_Minnesota_wordmark.png","#7F011B","#7a0019"
"Nebraska","Big Ten","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/158.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/6089_nebraska_cornhuskers-wordmark-2016.png","#F20017","#f5f1e7"
"Northwestern","Big Ten","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/77.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/6442_northwestern_wildcats-wordmark-1981.png","#372286","#d6cac1"
"Ohio State","Big Ten","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/194.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2586_ohio_state_buckeyes-wordmark-2013.png","#DE3121","#666666"
"Oregon","Big Ten","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/oregon_ducks_wordmark.png","#044520","#fee123"
"Penn State","Big Ten","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/213.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/penn_state_nittany_lions_logo_wordmark_19968994.png","#00265D","#002e5c"
"Purdue","Big Ten","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/purdue_boilermakers_logo_wordmark_20121876.png","#B89D29","#a4a9ad"
"Rutgers","Big Ten","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/164.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/rutgers_scarlet_knights_logo_wordmark_2016_sportslogosnet-2651.png","#d21034","#ffffff"
"UCLA","Big Ten","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/26.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/ucla_bruins_logo_wordmark_2017_sportslogosnet-6926.png","#005C8E","#ffc72c"
"USC","Big Ten","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/30.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/southern_california_trojans_logo_wordmark_20162572.png","#AE2531","#ffc72c"
"Washington","Big Ten","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/264.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/washington_huskies_logo_wordmark_2016_sportslogosnet-3187.png","#2B2F64","#e8e3d3"
"Wisconsin","Big Ten","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/275.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/wisconsin-wordmark.png","#A00001","#f7f7f7"
"Delaware","Conference USA","FCS","http://a.espncdn.com/i/teamlogos/ncaa/500/48.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/delaware_blue_hens_logo_wordmark_2018_sportslogosnet-3269.png","#033594","#e8ce31"
"Florida International","Conference USA","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/2229.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/5979_florida_intl_golden_panthers-wordmark-2009.png","#001538","#c5960c"
"Jacksonville State","Conference USA","FCS","http://a.espncdn.com/i/teamlogos/ncaa/500/55.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/jacksonville_state_gamecocks_logo_wordmark_20028913.png","#b50500","#b5b7ba"
"Kennesaw State","Conference USA","FCS","http://a.espncdn.com/i/teamlogos/ncaa/500/338.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/kennesaw_state_owls_logo_wordmark_20128370.png","#000000","#fdbb30"
"Liberty","Conference USA","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/2335.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/liberty_flames_logo_wordmark_20131049.png","#071740","#a61f21"
"Louisiana Tech","Conference USA","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/2348.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/la_tech_wordmark.png","#002d65","#d3313a"
"Middle Tennessee","Conference USA","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/2393.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/middle_tennessee_blue_raiders_logo_wordmark_2015_sportslogosnet-8290.png","#0079C2","#c3c5c8"
